Date,Consumer_0
01/01/2019 00:00,229.21
01/01/2019 01:00,308.6
01/01/2019 02:00,309.72
01/01/2019 03:00,303.71
01/01/2019 04:00,297.56
01/01/2019 05:00,304.85
01/01/2019 06:00,325.25
01/01/2019 07:00,433.86
01/01/2019 08:00,506.04
01/01/2019 09:00,564.26
01/01/2019 10:00,559.85
01/01/2019 11:00,556.51
01/01/2019 12:00,551.09
01/01/2019 13:00,537.62
01/01/2019 14:00,517.87
01/01/2019 15:00,472.33
01/01/2019 16:00,440.76
01/01/2019 17:00,414.5
01/01/2019 18:00,382.29
01/01/2019 19:00,328.77
01/01/2019 20:00,313.13
01/01/2019 21:00,312.39
01/01/2019 22:00,319.9
01/01/2019 23:00,305.26
02/01/2019 00:00,307.72
02/01/2019 01:00,313.94
02/01/2019 02:00,308.93
02/01/2019 03:00,305.27
02/01/2019 04:00,303.61
02/01/2019 05:00,295.44
02/01/2019 06:00,333.37
02/01/2019 07:00,467.92
02/01/2019 08:00,586.57
02/01/2019 09:00,642.56
02/01/2019 10:00,663.12
02/01/2019 11:00,631
02/01/2019 12:00,651.27
02/01/2019 13:00,650.02
02/01/2019 14:00,597.29
02/01/2019 15:00,577.29
02/01/2019 16:00,540.47
02/01/2019 17:00,503.92
02/01/2019 18:00,459.39
02/01/2019 19:00,396.39
02/01/2019 20:00,330.52
02/01/2019 21:00,326.91
02/01/2019 22:00,332.07
02/01/2019 23:00,322.84
03/01/2019 00:00,319.13
03/01/2019 01:00,327.83
03/01/2019 02:00,331.03
03/01/2019 03:00,332.59
03/01/2019 04:00,332.61
03/01/2019 05:00,332.21
03/01/2019 06:00,320.83
03/01/2019 07:00,342.29
03/01/2019 08:00,386.13
03/01/2019 09:00,396.8
03/01/2019 10:00,387.36
03/01/2019 11:00,389.23
03/01/2019 12:00,398.12
03/01/2019 13:00,396.72
03/01/2019 14:00,410.74
03/01/2019 15:00,433.32
03/01/2019 16:00,424.54
03/01/2019 17:00,424.04
03/01/2019 18:00,404.92
03/01/2019 19:00,388.72
03/01/2019 20:00,369.62
03/01/2019 21:00,338.89
03/01/2019 22:00,340.68
03/01/2019 23:00,337.29
04/01/2019 00:00,340.96
04/01/2019 01:00,335.26
04/01/2019 02:00,336.83
04/01/2019 03:00,334.97
04/01/2019 04:00,334.22
04/01/2019 05:00,337.31
04/01/2019 06:00,335.35
04/01/2019 07:00,348.06
04/01/2019 08:00,383.6
04/01/2019 09:00,399.71
04/01/2019 10:00,389.71
04/01/2019 11:00,392.98
04/01/2019 12:00,405.39
04/01/2019 13:00,406.5
04/01/2019 14:00,392.32
04/01/2019 15:00,398.21
04/01/2019 16:00,407.27
04/01/2019 17:00,393.68
04/01/2019 18:00,397.27
04/01/2019 19:00,382.36
04/01/2019 20:00,348.67
04/01/2019 21:00,336.32
